config,run,stream,window_index,window_start_s,mean_IAT,IAT_variance,mean_frame_size,burst_length,count,phase_offset_mean_us,phase_offset_std_us,gate_util,queue_depth_max,drops,sync_event_interval_mean_us,sync_event_interval_var,gm_rate_ratio_mean,gm_rate_ratio_std,pdelay_mean_us,label
BenignDiverse_gPTP_Working,0,zonalHost,0,0.0,0.0004990741604277499,8.995206806847894e-12,20.0,1,21,58.08446586419419,51.150571750161134,0.2500000000000001,15.0,0,,,,,0.5000000000000001,0
BenignDiverse_gPTP_Working,0,zonalHost,1,0.01,0.0004992120875445789,8.266324038051879e-12,20.0,1,20,63.53747563825351,48.77151826701261,0.24999999999999986,18.0,0,,,,,,0
BenignDiverse_gPTP_Working,0,zonalHost,2,0.02,0.0004996862943292632,1.0078113829731572e-11,20.0,1,20,62.30778851590093,49.06839031892171,0.2500000000000003,22.0,0,,,,,,0
BenignDiverse_gPTP_Working,0,zonalHost,3,0.03,0.0005001113681131579,8.471113595199527e-12,20.0,1,20,66.18546202551802,49.434439000300735,0.25000000000000017,25.0,0,,,,,,0
BenignDiverse_gPTP_Working,0,zonalHost,4,0.04,0.0005000501660182632,7.4196506349143e-12,20.0,1,20,61.500267286033186,48.981671525192525,0.25000000000000017,30.0,0,,,,,,0
BenignDiverse_gPTP_Working,0,zonalHost,5,0.05,0.0005004756965387895,9.495931817761235e-12,20.0,1,20,65.25073692335343,48.83043786269741,0.25000000000000017,33.0,0,,,,,,0
BenignDiverse_gPTP_Working,0,zonalHost,6,0.06,0.000499899892089579,5.4512238478004315e-12,20.0,1,20,65.63280155169406,48.55234792912369,0.25000000000000033,37.0,0,,,,,,0
BenignDiverse_gPTP_Working,0,zonalHost,7,0.07,0.0005007728124832103,9.923329460587405e-12,20.0,1,20,62.709396502868735,48.508195466383576,0.25000000000000033,41.0,0,,,,,,0
BenignDiverse_gPTP_Working,0,zonalHost,8,0.08,0.0004993748204545265,7.426979524887753e-12,20.0,1,20,67.17221828444406,48.542181309950145,0.25000000000000033,44.0,0,,,,,,0
BenignDiverse_gPTP_Working,0,zonalHost,9,0.09,0.0005004075780194213,1.1397332948580168e-11,20.0,1,20,61.64809887668432,48.68321662881204,0.25000000000000033,48.0,0,,,,,,0
BenignDiverse_gPTP_Working,0,zonalHost,10,0.1,0.0005001948720336841,1.0266084784180068e-11,20.0,1,20,64.99919099782166,49.672372235266835,0.24999999999999895,51.0,0,,,,,,0
BenignDiverse_gPTP_Working,0,zonalHost,11,0.11,0.000499119663534737,9.585275006629267e-12,20.0,1,20,62.763861794148504,50.09402222835678,0.25000000000000033,54.0,0,,,,,,0
