config,run,stream,window_index,window_start_s,mean_IAT,IAT_variance,mean_frame_size,burst_length,count,phase_offset_mean_us,phase_offset_std_us,gate_util,queue_depth_max,drops,label
QueueBuildingAttack,0,av2,8,0.08,9.000000000000006e-05,4.852572445366005e-35,500.0,1,111,60.974607329842755,49.84874509068148,0.25000000000000033,186.0,0,8
QueueBuildingAttack,0,av2,9,0.09,9.000000000000006e-05,4.852572445366005e-35,500.0,1,111,61.07385826771653,49.897095338631516,0.25000000000000033,207.0,0,8
QueueBuildingAttack,0,av2,10,0.1,9.000000000000006e-05,4.852572445366005e-35,500.0,1,111,60.63136125654515,49.736096639193676,0.24999999999999895,227.0,0,8
QueueBuildingAttack,0,av2,11,0.11,9.000000000000006e-05,4.852572445366005e-35,500.0,1,111,61.10356955380534,49.8209561895977,0.25000000000000033,249.0,0,8
QueueBuildingAttack,0,av2,12,0.12,9.000000000000006e-05,9.446533780601613e-35,500.0,1,111,60.387853403143,49.73184875064359,0.24999999999998612,267.0,0,8
QueueBuildingAttack,0,av2,13,0.13,9.000000000000018e-05,1.4032463714901495e-34,500.0,1,111,61.15753280839906,49.74311440530349,0.24999999999997224,288.0,0,8
QueueBuildingAttack,0,av2,14,0.14,8.999999999999999e-05,1.4309612166651108e-34,500.0,1,112,60.521514360312736,49.741880031963554,0.250000000000025,306.0,0,8
QueueBuildingAttack,0,radarNode,0,0.0,0.0004999999999999999,2.0945796999739823e-37,64.0,1,20,55.69738562091501,50.79814396909286,0.2500000000000001,60.0,0,8
QueueBuildingAttack,0,radarNode,1,0.01,0.0005,9.502943804542282e-37,64.0,1,20,60.4897336561743,49.99694401512173,0.24999999999999986,114.0,0,8
QueueBuildingAttack,0,radarNode,2,0.02,0.0005000000000000001,1.196666997609028e-36,64.0,1,20,60.58726392251811,49.97086325341822,0.2500000000000003,167.0,0,8
QueueBuildingAttack,0,radarNode,3,0.03,0.0005000000000000002,3.308432287507313e-36,64.0,1,20,60.70832929782089,50.0278838789515,0.25000000000000017,220.0,0,8
QueueBuildingAttack,0,radarNode,4,0.04,0.0005000000000000001,2.5341183478779418e-36,64.0,1,20,60.77021791767561,50.02113496226922,0.25000000000000017,273.0,0,8
QueueBuildingAttack,0,radarNode,5,0.05,0.0005000000000000001,2.5341183478779418e-36,64.0,1,20,60.52647342995163,50.008706754060036,0.25000000000000017,326.0,0,8
QueueBuildingAttack,0,radarNode,6,0.06,0.0004999999999999997,1.0136473391511767e-35,64.0,1,20,60.67200968522954,49.93939631153986,0.25000000000000033,380.0,0,8
QueueBuildingAttack,0,radarNode,7,0.07,0.0005000000000000004,0.0,64.0,1,20,60.77893462469791,49.898911586355936,0.25000000000000033,433.0,0,8
QueueBuildingAttack,0,radarNode,8,0.08,0.0004999999999999997,1.0136473391511767e-35,64.0,1,20,60.696222760290205,49.9823211198999,0.25000000000000033,486.0,0,8
QueueBuildingAttack,0,radarNode,9,0.09,0.0004999999999999997,1.0136473391511767e-35,64.0,1,20,60.565084745762704,50.03186536351108,0.25000000000000033,539.0,0,8
QueueBuildingAttack,0,radarNode,10,0.1,0.0005000000000000004,0.0,64.0,1,20,60.514396135266054,50.02870906053821,0.24999999999999895,593.0,0,8
QueueBuildingAttack,0,radarNode,11,0.11,0.0004999999999999997,1.0136473391511767e-35,64.0,1,20,60.6841162227597,49.91873640408628,0.25000000000000033,646.0,0,8
QueueBuildingAttack,0,radarNode,12,0.12,0.0004999999999999997,1.0136473391511767e-35,64.0,1,20,60.77601941747736,49.84596688084964,0.24999999999998612,698.0,0,8
QueueBuildingAttack,0,radarNode,13,0.13,0.0005000000000000004,0.0,64.0,1,20,60.85496368038746,49.91798280763796,0.24999999999997224,751.0,0,8
QueueBuildingAttack,0,radarNode,14,0.14,0.0005000000000000004,0.0,64.0,1,20,60.60498789346166,49.960529462633524,0.250000000000025,803.0,0,8
QueueBuildingAttack,0,zonalHost,0,0.0,0.0005,1.979779959279642e-37,20.0,1,20,59.84904545454545,50.40117449003694,0.2500000000000001,79.0,0,8
QueueBuildingAttack,0,zonalHost,1,0.01,0.0005,9.502943804542282e-37,20.0,1,20,65.45908396946564,49.07384646960135,0.24999999999999986,153.0,0,8
QueueBuildingAttack,0,zonalHost,2,0.02,0.0004999999999999999,1.689412231918628e-36,20.0,1,20,65.82783715012731,48.86156483386723,0.2500000000000003,226.0,0,8
QueueBuildingAttack,0,zonalHost,3,0.03,0.0005000000000000001,2.5341183478779418e-36,20.0,1,20,66.00768447837167,48.86896497509342,0.25000000000000017,299.0,0,8
QueueBuildingAttack,0,zonalHost,4,0.04,0.0005000000000000001,2.5341183478779418e-36,20.0,1,20,65.98396946564904,48.86218391410875,0.25000000000000017,372.0,0,8
QueueBuildingAttack,0,zonalHost,5,0.05,0.0004999999999999998,4.5614130261802956e-36,20.0,1,21,65.66213197969564,48.89381591917051,0.25000000000000017,445.0,0,8
QueueBuildingAttack,0,zonalHost,6,0.06,0.0005000000000000004,0.0,20.0,1,20,65.61450381679356,48.77208228619316,0.25000000000000033,519.0,0,8
QueueBuildingAttack,0,zonalHost,7,0.07,0.0004999999999999997,1.0136473391511767e-35,20.0,1,20,66.02926208651456,48.78840640673909,0.25000000000000033,592.0,0,8
QueueBuildingAttack,0,zonalHost,8,0.08,0.0004999999999999997,1.0136473391511767e-35,20.0,1,20,65.88972010178136,48.79701224724884,0.25000000000000033,665.0,0,8
QueueBuildingAttack,0,zonalHost,9,0.09,0.0005000000000000004,0.0,20.0,1,20,65.89328244274823,48.84786093601824,0.25000000000000033,738.0,0,8
QueueBuildingAttack,0,zonalHost,10,0.1,0.0004999999999999997,1.0136473391511767e-35,20.0,1,20,65.70192893401081,49.03257198906202,0.24999999999999895,812.0,0,8
QueueBuildingAttack,0,zonalHost,11,0.11,0.0004999999999999997,1.0136473391511767e-35,20.0,1,20,65.68575063613231,48.87260177851066,0.25000000000000033,885.0,0,8
QueueBuildingAttack,0,zonalHost,12,0.12,0.0005000000000000004,0.0,20.0,1,20,66.033673469389,48.611193650309716,0.24999999999998612,957.0,0,8
QueueBuildingAttack,0,zonalHost,13,0.13,0.0005000000000000004,0.0,20.0,1,20,65.74040712468224,48.64486456773675,0.24999999999997224,1030.0,0,8
QueueBuildingAttack,0,zonalHost,14,0.14,0.000499999999999999,3.851859888774472e-35,20.0,1,21,65.50793893129814,48.63525115777397,0.250000000000025,1102.0,0,8
QueueBuildingAttack,0,attackNode,0,0.0,0.00019999999999999998,2.1690169783731487e-37,529.0,1,50,54.275044642857125,51.489518313875,0.2500000000000001,15.0,0,8
QueueBuildingAttack,0,attackNode,1,0.01,0.00019999999999999998,1.5302217617234892e-36,529.0,1,50,56.633796526054596,49.39768294995393,0.24999999999999986,18.0,0,8
QueueBuildingAttack,0,attackNode,2,0.02,0.00019999999999999998,2.784082402600596e-36,529.0,1,50,57.17238805970147,49.562115376235035,0.2500000000000003,22.0,0,8
QueueBuildingAttack,0,attackNode,3,0.03,0.00019999999999999998,7.29798070975818e-36,529.0,1,50,59.31697270471468,50.53461078637198,0.25000000000000017,25.0,0,8
QueueBuildingAttack,0,attackNode,4,0.04,0.00020000000000000006,7.369629889236872e-36,529.0,1,50,55.7656218905474,49.89166361218402,0.25000000000000017,30.0,0,8
QueueBuildingAttack,0,attackNode,5,0.05,0.00019999999999999993,6.71455167686026e-36,529.0,1,50,59.218217821782176,50.689810750658175,0.25000000000000017,33.0,0,8
QueueBuildingAttack,0,attackNode,6,0.06,0.00020000000000000006,3.746228527028743e-35,529.0,1,50,57.240248138957526,49.54936461017038,0.25000000000000033,36.0,0,8
QueueBuildingAttack,0,attackNode,7,0.07,0.00020000000000000006,4.7493170397304285e-35,529.0,1,50,56.99776119402994,49.47310561824316,0.25000000000000033,40.0,0,8
QueueBuildingAttack,0,attackNode,8,0.08,0.0001999999999999998,4.81482486096809e-35,529.0,1,50,59.41553349875924,50.450590536418915,0.25000000000000033,43.0,0,8
QueueBuildingAttack,0,attackNode,9,0.09,0.00020000000000000006,4.7493170397304285e-35,529.0,1,50,55.690669975186,49.767367560763475,0.25000000000000033,46.0,0,8
QueueBuildingAttack,0,attackNode,10,0.1,0.00020000000000000006,4.7493170397304285e-35,529.0,1,50,58.73468982630281,50.47065941003833,0.24999999999999895,51.0,0,8
QueueBuildingAttack,0,attackNode,11,0.11,0.0001999999999999998,4.81482486096809e-35,529.0,1,50,57.858511166252825,49.905482861790155,0.25000000000000033,54.0,0,8
QueueBuildingAttack,0,attackNode,12,0.12,0.0001999999999999998,8.827178911774831e-35,529.0,1,50,56.63845771144337,49.512885374053916,0.24999999999998612,58.0,0,8
QueueBuildingAttack,0,attackNode,13,0.13,0.00020000000000000006,1.277402514134391e-34,529.0,1,50,59.614838709677905,50.43471154392291,0.24999999999997224,61.0,0,8
QueueBuildingAttack,0,attackNode,14,0.14,0.00020000000000000006,1.277402514134391e-34,529.0,1,50,56.03118811881146,49.51036880222334,0.250000000000025,64.0,0,8
ScheduleAwareBurstAttack,0,av1,0,0.0,9e-05,1.396471836198659e-37,500.0,1,110,3.3100000000000027,8.451225004792661,0.2500000000000001,2.0,0,9
ScheduleAwareBurstAttack,0,av1,1,0.01,9e-05,4.781306424180024e-37,500.0,1,112,,,0.24999999999999986,0,0,9
ScheduleAwareBurstAttack,0,av1,2,0.02,8.999999999999999e-05,6.264492729866738e-37,500.0,1,111,,,0.2500000000000003,0,0,9
ScheduleAwareBurstAttack,0,av1,3,0.03,8.999999999999999e-05,1.5099033759165984e-36,500.0,1,111,,,0.25000000000000017,0,0,9
ScheduleAwareBurstAttack,0,av1,4,0.04,8.999999999999999e-05,1.2890398501841174e-36,500.0,1,111,,,0.25000000000000017,0,0,9
ScheduleAwareBurstAttack,0,av1,5,0.05,9.000000000000006e-05,1.7026569983740367e-36,500.0,1,111,,,0.25000000000000017,0,0,9
ScheduleAwareBurstAttack,0,av1,6,0.06,8.999999999999999e-05,3.6627203967381106e-35,500.0,1,111,,,0.25000000000000033,0,0,9
ScheduleAwareBurstAttack,0,av1,7,0.07,9.000000000000006e-05,4.852572445366005e-35,500.0,1,111,,,0.25000000000000033,0,0,9
ScheduleAwareBurstAttack,0,av1,8,0.08,9.000000000000006e-05,4.852572445366005e-35,500.0,1,111,,,0.25000000000000033,0,0,9
ScheduleAwareBurstAttack,0,av1,9,0.09,8.999999999999992e-05,4.85739128592744e-35,500.0,1,111,,,0.25000000000000033,0,0,9
ScheduleAwareBurstAttack,0,av1,10,0.1,8.999999999999999e-05,4.855046985113769e-35,500.0,1,112,,,0.24999999999999895,0,0,9
ScheduleAwareBurstAttack,0,av1,11,0.11,9.000000000000006e-05,4.852572445366005e-35,500.0,1,111,,,0.25000000000000033,0,0,9
ScheduleAwareBurstAttack,0,av1,12,0.12,9.000000000000006e-05,9.446533780601613e-35,500.0,1,111,,,0.24999999999998612,0,0,9
ScheduleAwareBurstAttack,0,av1,13,0.13,8.999999999999992e-05,1.4398695597570627e-34,500.0,1,111,,,0.24999999999997224,0,0,9
ScheduleAwareBurstAttack,0,av1,14,0.14,8.999999999999992e-05,1.4398695597570627e-34,500.0,1,111,,,0.250000000000025,0,0,9
ScheduleAwareBurstAttack,0,av2,0,0.0,9e-05,1.362297049014728e-37,500.0,1,110,3.6604000000000023,10.782888553213393,0.2500000000000001,3.0,0,9
ScheduleAwareBurstAttack,0,av2,1,0.01,9e-05,4.821350374228367e-37,500.0,1,111,,,0.24999999999999986,0,0,9
ScheduleAwareBurstAttack,0,av2,2,0.02,8.999999999999999e-05,6.264492729866738e-37,500.0,1,111,,,0.2500000000000003,0,0,9
ScheduleAwareBurstAttack,0,av2,3,0.03,9.000000000000002e-05,1.3864205865298024e-36,500.0,1,111,,,0.25000000000000017,0,0,9
ScheduleAwareBurstAttack,0,av2,4,0.04,8.999999999999999e-05,1.2890398501841174e-36,500.0,1,111,,,0.25000000000000017,0,0,9
ScheduleAwareBurstAttack,0,av2,5,0.05,8.999999999999999e-05,1.2776439434509919e-36,500.0,1,112,,,0.25000000000000017,0,0,9
ScheduleAwareBurstAttack,0,av2,6,0.06,9.000000000000006e-05,3.7040821115571023e-35,500.0,1,111,,,0.25000000000000033,0,0,9
ScheduleAwareBurstAttack,0,av2,7,0.07,9.000000000000006e-05,4.852572445366005e-35,500.0,1,111,,,0.25000000000000033,0,0,9
ScheduleAwareBurstAttack,0,av2,8,0.08,9.000000000000006e-05,4.852572445366005e-35,500.0,1,111,,,0.25000000000000033,0,0,9
