window_id,t_start_s,t_end_s,label,config,mean_IAT_us,IAT_variance_us2,mean_frame_size_B,burst_length,frame_count,phase_offset_mean_us,phase_offset_std_us,gate_drop_rate,meter_red_rate,queue_depth_max,sync_interval_mean,sync_interval_var,correction_field_delta,announce_rate,source_count
10,0.1,0.11,5,AggregateLoadAttack,55.53743016759775,1155.2815732842678,425.65555555555557,8,180,291.64133333333376,136.25550093849418,0.0,0.0,813.0,125000.0,0.0,0.0,1.0,1.0
11,0.11,0.12,5,AggregateLoadAttack,55.84943820224717,1198.8153895720543,425.0782122905028,8,179,291.6625698324022,136.12813204953426,0.0,0.0,886.0,125000.0,0.0,0.0,1.0,1.0
12,0.12,0.13,5,AggregateLoadAttack,55.53486033519546,1185.6376585000683,425.49444444444447,8,180,292.57155555555374,135.64158195538187,0.0,0.0,958.0,125000.0,0.0,0.0,1.0,1.0
13,0.13,0.14,5,AggregateLoadAttack,55.52189944134079,1186.2476634312084,425.49444444444447,8,180,291.6932222222184,135.57179466022973,0.0,0.0,1030.0,125000.0,0.0,0.0,1.0,1.0
14,0.14,0.15,5,AggregateLoadAttack,55.53486033519555,1218.9438618519043,425.65555555555557,8,180,292.0467777777782,135.31555070630242,0.0,0.0,1104.0,125000.0,0.0,0.0,1.0,1.0
0,0.0,0.01,4,CBSBoundaryAttack,55.77394285714285,1177.9607747395926,427.26704545454544,8,176,293.28943181818175,137.5907111017868,0.0,0.0,89.0,125000.0,0.0,0.0,1.0,1.0
1,0.01,0.02,4,CBSBoundaryAttack,55.53486033519552,1182.1600138073084,425.49444444444447,8,180,292.2434444444444,135.7611186988307,0.0,0.0,161.0,125000.0,0.0,0.0,1.0,1.0
2,0.02,0.03,4,CBSBoundaryAttack,55.53743016759777,1192.7738146250172,425.65555555555557,8,180,291.97944444444437,135.73093143635413,0.0,0.0,234.0,125000.0,0.0,0.0,1.0,1.0
3,0.03,0.04,4,CBSBoundaryAttack,55.53486033519551,1214.9042328017106,425.49444444444447,8,180,291.6799999999999,135.09453496636252,0.0,0.0,306.0,125000.0,0.0,0.0,1.0,1.0
4,0.04,0.05,4,CBSBoundaryAttack,55.534860335195496,1181.2558618519997,425.49444444444447,8,180,291.70077777777766,135.60482491192954,0.0,0.0,378.0,125000.0,0.0,0.0,1.0,1.0
5,0.05,0.06,4,CBSBoundaryAttack,55.53743016759779,1189.8339844574268,425.65555555555557,8,180,291.21222222222275,135.41046470948808,0.0,0.0,451.0,125000.0,0.0,0.0,1.0,1.0
6,0.06,0.07,4,CBSBoundaryAttack,55.53486033519555,1183.2916517961323,425.49444444444447,8,180,291.9074444444446,135.8519131510582,0.0,0.0,524.0,125000.0,0.0,0.0,1.0,1.0
7,0.07,0.08,4,CBSBoundaryAttack,55.742681564245835,1173.652783870678,425.65555555555557,8,180,292.6775555555563,135.8236224529696,0.0,0.0,597.0,125000.0,0.0,0.0,1.0,1.0
8,0.08,0.09,4,CBSBoundaryAttack,55.73229050279328,1245.353359558099,425.49444444444447,8,180,291.702888888889,134.5565231272667,0.0,0.0,669.0,125000.0,0.0,0.0,1.0,1.0
9,0.09,0.1,4,CBSBoundaryAttack,55.742681564245835,1172.7486319153145,425.65555555555557,8,180,292.69044444444387,136.0273414747613,0.0,0.0,742.0,125000.0,0.0,0.0,1.0,1.0
10,0.1,0.11,4,CBSBoundaryAttack,55.73229050279328,1237.2241215692336,425.49444444444447,8,180,293.3412222222226,135.08949322025808,0.0,0.0,815.0,125000.0,0.0,0.0,1.0,1.0
11,0.11,0.12,4,CBSBoundaryAttack,55.72972067039109,1244.4804664024523,425.49444444444447,8,180,290.90200000000027,134.26032457878267,0.0,0.0,887.0,125000.0,0.0,0.0,1.0,1.0
12,0.12,0.13,4,CBSBoundaryAttack,55.742681564245835,1145.7876442058498,425.65555555555557,8,180,292.8247777777755,136.52644605617246,0.0,0.0,959.0,125000.0,0.0,0.0,1.0,1.0
13,0.13,0.14,4,CBSBoundaryAttack,55.53486033519554,1194.7086841983532,423.0722222222222,8,180,292.8268888888857,135.66938549810087,0.0,0.0,1032.0,125000.0,0.0,0.0,1.0,1.0
14,0.14,0.15,4,CBSBoundaryAttack,55.53486033519555,1219.9625836396333,425.49444444444447,8,180,291.4317777777791,135.2036640165707,0.0,0.0,1105.0,125000.0,0.0,0.0,1.0,1.0
0,0.0,0.01,4,CBSExhaustionAttack,55.776571428571415,1164.9421322448982,427.26704545454544,8,176,291.81704545454545,136.85383875573152,0.0,0.0,89.0,125000.0,0.0,0.0,1.0,1.0
1,0.01,0.02,4,CBSExhaustionAttack,55.53486033519552,1180.8974305670843,425.49444444444447,8,180,292.174,135.98826071719893,0.0,0.0,161.0,125000.0,0.0,0.0,1.0,1.0
2,0.02,0.03,4,CBSExhaustionAttack,55.53743016759777,1191.869662669709,425.65555555555557,8,180,291.7469999999999,135.71670236153284,0.0,0.0,234.0,125000.0,0.0,0.0,1.0,1.0
3,0.03,0.04,4,CBSExhaustionAttack,55.53486033519551,1217.7958484441606,425.49444444444447,8,180,291.5561111111109,135.02137839118038,0.0,0.0,307.0,125000.0,0.0,0.0,1.0,1.0
4,0.04,0.05,4,CBSExhaustionAttack,55.53486033519551,1187.3976361536736,425.49444444444447,8,180,291.46544444444436,135.71032450416115,0.0,0.0,378.0,125000.0,0.0,0.0,1.0,1.0
5,0.05,0.06,4,CBSExhaustionAttack,55.53486033519554,1188.780930008448,425.65555555555557,8,180,290.97733333333383,135.5038539902915,0.0,0.0,451.0,125000.0,0.0,0.0,1.0,1.0
6,0.06,0.07,4,CBSExhaustionAttack,55.53486033519556,1210.9293054274074,425.49444444444447,8,180,291.68288888888907,135.42351630877212,0.0,0.0,524.0,125000.0,0.0,0.0,1.0,1.0
7,0.07,0.08,4,CBSExhaustionAttack,55.74268156424582,1178.5318632002834,425.65555555555557,8,180,292.3777777777786,135.73797763647218,0.0,0.0,597.0,125000.0,0.0,0.0,1.0,1.0
8,0.08,0.09,4,CBSExhaustionAttack,55.73229050279328,1209.5382534128385,425.49444444444447,8,180,291.42177777777766,134.98841193539337,0.0,0.0,669.0,125000.0,0.0,0.0,1.0,1.0
9,0.09,0.1,4,CBSExhaustionAttack,55.72972067039109,1184.0021647263911,425.49444444444447,8,180,292.43933333333285,136.0131118009499,0.0,0.0,742.0,125000.0,0.0,0.0,1.0,1.0
10,0.1,0.11,4,CBSExhaustionAttack,55.742681564245764,1238.0579101276583,425.65555555555557,8,180,293.32833333333394,135.11733621601303,0.0,0.0,815.0,125000.0,0.0,0.0,1.0,1.0
11,0.11,0.12,4,CBSExhaustionAttack,55.729720670391075,1240.326267519782,425.49444444444447,8,180,290.6982222222224,134.3834741706471,0.0,0.0,887.0,125000.0,0.0,0.0,1.0,1.0
12,0.12,0.13,4,CBSExhaustionAttack,55.742681564245835,1151.6190900159174,425.65555555555557,8,180,292.5121111111091,136.43960235613173,0.0,0.0,959.0,125000.0,0.0,0.0,1.0,1.0
13,0.13,0.14,4,CBSExhaustionAttack,55.53486033519555,1191.817068555908,423.0722222222222,8,180,292.5533333333297,135.654104512585,0.0,0.0,1032.0,125000.0,0.0,0.0,1.0,1.0
14,0.14,0.15,4,CBSExhaustionAttack,55.53486033519555,1219.962583639632,425.49444444444447,8,180,291.1477777777796,135.31138323451918,0.0,0.0,1105.0,125000.0,0.0,0.0,1.0,1.0
0,0.0,0.01,1,GCLPhaseAttack,55.77657142857143,1183.7592522448979,427.26704545454544,8,176,293.12784090909093,137.6549251005181,0.0,0.0,89.0,125000.0,0.0,0.0,1.0,1.0
1,0.01,0.02,1,GCLPhaseAttack,55.53486033519552,1182.3392853156893,425.49444444444447,8,180,292.42433333333327,135.96056116511622,0.0,0.0,161.0,125000.0,0.0,0.0,1.0,1.0
2,0.02,0.03,1,GCLPhaseAttack,55.53743016759777,1192.5945431166372,425.65555555555557,8,180,292.0696666666666,135.75643131031077,0.0,0.0,234.0,125000.0,0.0,0.0,1.0,1.0
3,0.03,0.04,1,GCLPhaseAttack,55.534860335195496,1217.7958484441604,425.49444444444447,8,180,291.8787777777776,135.13737930407274,0.0,0.0,307.0,125000.0,0.0,0.0,1.0,1.0
4,0.04,0.05,1,GCLPhaseAttack,55.534860335195496,1184.3267490028352,425.49444444444447,8,180,291.770222222222,135.62412382084855,0.0,0.0,378.0,125000.0,0.0,0.0,1.0,1.0
5,0.05,0.06,1,GCLPhaseAttack,55.53743016759779,1184.7756336194377,425.65555555555557,8,180,291.33111111111157,135.479302596739,0.0,0.0,452.0,125000.0,0.0,0.0,1.0,1.0
6,0.06,0.07,1,GCLPhaseAttack,55.53486033519555,1250.9468249804822,425.49444444444447,8,180,290.6308888888892,134.61550820882835,0.0,0.0,524.0,125000.0,0.0,0.0,1.0,1.0
7,0.07,0.08,1,GCLPhaseAttack,55.742681564245835,1177.6277112449918,425.65555555555557,8,180,292.79066666666716,135.91477084964325,0.0,0.0,597.0,125000.0,0.0,0.0,1.0,1.0
8,0.08,0.09,1,GCLPhaseAttack,55.72972067039102,1207.5338340002343,425.49444444444447,8,180,291.6131111111111,135.23062145538572,0.0,0.0,669.0,125000.0,0.0,0.0,1.0,1.0
9,0.09,0.1,1,GCLPhaseAttack,55.742681564245835,1180.746812920903,425.65555555555557,8,180,292.718333333333,135.95496445310246,0.0,0.0,742.0,125000.0,0.0,0.0,1.0,1.0
10,0.1,0.11,1,GCLPhaseAttack,55.742681564245764,1235.8186788427254,425.49444444444447,8,180,293.2896666666678,135.05858806829013,0.0,0.0,815.0,125000.0,0.0,0.0,1.0,1.0
11,0.11,0.12,1,GCLPhaseAttack,55.72972067039109,1244.6597379108423,425.49444444444447,8,180,291.0700000000005,134.24619563407498,0.0,0.0,887.0,125000.0,0.0,0.0,1.0,1.0
12,0.12,0.13,1,GCLPhaseAttack,55.742681564245835,1115.9350408539121,425.65555555555557,8,180,294.03899999999805,137.19437682475902,0.0,0.0,960.0,125000.0,0.0,0.0,1.0,1.0
13,0.13,0.14,1,GCLPhaseAttack,55.53486033519554,1194.7086841983537,423.0722222222222,8,180,292.7882222222189,135.65910612493906,0.0,0.0,1032.0,125000.0,0.0,0.0,1.0,1.0
14,0.14,0.15,1,GCLPhaseAttack,55.53486033519555,1216.8916964888099,425.49444444444447,8,180,291.4422222222242,135.38557672873597,0.0,0.0,1105.0,125000.0,0.0,0.0,1.0,1.0
0,0.0,0.01,3,GateBoundaryProximityAttack,55.13062146892655,1197.4158239075598,412.42134831460675,8,178,290.3723595505617,133.69538191769345,0.0,0.0,52.0,125000.0,0.0,0.0,1.0,1.0
1,0.01,0.02,3,GateBoundaryProximityAttack,55.52189944134077,1188.0274354982673,413.55555555555554,8,180,289.88,133.49777346457867,0.0,0.0,95.0,125000.0,0.0,0.0,1.0,1.0
2,0.02,0.03,3,GateBoundaryProximityAttack,55.71675977653631,1151.892796204861,413.55555555555554,8,180,289.8799999999998,133.96635113175086,0.0,0.0,138.0,125000.0,0.0,0.0,1.0,1.0
3,0.03,0.04,3,GateBoundaryProximityAttack,55.52189944134075,1194.2551718111135,411.1333333333333,8,180,289.1048888888888,132.80978331805082,0.0,0.0,181.0,125000.0,0.0,0.0,1.0,1.0
4,0.04,0.05,3,GateBoundaryProximityAttack,55.52189944134075,1188.027435498272,413.55555555555554,8,180,288.52355555555516,132.9215044077695,0.0,0.0,224.0,125000.0,0.0,0.0,1.0,1.0
5,0.05,0.06,3,GateBoundaryProximityAttack,55.52189944134079,1188.0274354982878,413.55555555555554,8,180,290.073777777778,133.8336779288032,0.0,0.0,267.0,125000.0,0.0,0.0,1.0,1.0
6,0.06,0.07,3,GateBoundaryProximityAttack,55.71675977653633,1183.553703467443,413.55555555555554,8,180,290.2675555555556,133.57441100842294,0.0,0.0,311.0,125000.0,0.0,0.0,1.0,1.0
7,0.07,0.08,3,GateBoundaryProximityAttack,55.5218994413408,1162.5942645485427,411.1333333333333,8,180,289.29866666666715,133.41981444714622,0.0,0.0,354.0,125000.0,0.0,0.0,1.0,1.0
8,0.08,0.09,3,GateBoundaryProximityAttack,55.52189944134079,1124.705620973181,413.55555555555554,8,180,289.68622222222297,134.62473134670674,0.0,0.0,397.0,125000.0,0.0,0.0,1.0,1.0
9,0.09,0.1,3,GateBoundaryProximityAttack,55.71675977653633,1183.5537034673782,413.55555555555554,8,180,289.1048888888885,133.20838466473379,0.0,0.0,440.0,125000.0,0.0,0.0,1.0,1.0
10,0.1,0.11,3,GateBoundaryProximityAttack,55.52189944134072,1194.2551718111415,411.1333333333333,8,180,289.49244444444446,133.08840933180088,0.0,0.0,483.0,125000.0,0.0,0.0,1.0,1.0
11,0.11,0.12,3,GateBoundaryProximityAttack,55.52189944134079,1219.6883427608561,413.55555555555554,8,180,288.52355555555613,132.58259193851933,0.0,0.0,527.0,125000.0,0.0,0.0,1.0,1.0
12,0.12,0.13,3,GateBoundaryProximityAttack,55.521899441340715,1156.3665282356403,413.55555555555554,8,180,290.461333333331,134.44244550653772,0.0,0.0,570.0,125000.0,0.0,0.0,1.0,1.0
13,0.13,0.14,3,GateBoundaryProximityAttack,55.71675977653641,1151.8927962048556,413.55555555555554,8,180,289.2986666666617,133.8165986980374,0.0,0.0,613.0,125000.0,0.0,0.0,1.0,1.0
14,0.14,0.15,3,GateBoundaryProximityAttack,55.5218994413408,1194.2551718110947,411.1333333333333,8,180,288.13600000000525,132.50639274138075,0.0,0.0,656.0,125000.0,0.0,0.0,1.0,1.0
0,0.0,0.01,0,General,89.47870370370372,4872.286920541835,500.0,3,109,307.4699082568807,92.48162392719847,0.0,0.0,2.0,125000.0,0.0,0.0,1.0,1.0
1,0.01,0.02,0,General,88.86618181818183,4706.062885421495,500.0,3,111,307.5830630630629,93.53912115801626,0.0,0.0,2.0,125000.0,0.0,0.0,1.0,1.0
2,0.02,0.03,0,General,88.77527272727276,4739.579526743801,500.0,3,111,307.20630630630626,93.12621418934374,0.0,0.0,2.0,125000.0,0.0,0.0,1.0,1.0
3,0.03,0.04,0,General,88.68436363636366,4768.992220958697,500.0,3,111,306.9360360360358,92.75782945297672,0.0,0.0,2.0,125000.0,0.0,0.0,1.0,1.0
4,0.04,0.05,0,General,88.59345454545456,4803.8429317024675,500.0,3,111,306.66576576576597,92.41643465197645,0.0,0.0,2.0,125000.0,0.0,0.0,1.0,1.0
5,0.05,0.06,0,General,88.51603603603603,4662.47111942215,500.0,3,112,306.54678571428593,94.19572573535989,0.0,0.0,2.0,125000.0,0.0,0.0,1.0,1.0
6,0.06,0.07,0,General,88.81945454545459,4723.857312429869,500.0,3,111,307.32648648648524,93.2699351407989,0.0,0.0,2.0,125000.0,0.0,0.0,1.0,1.0
7,0.07,0.08,0,General,88.72854545454548,4753.221603338703,500.0,3,111,307.0261261261273,92.87764085871017,0.0,0.0,2.0,125000.0,0.0,0.0,1.0,1.0
8,0.08,0.09,0,General,88.63763636363642,4785.327619867825,500.0,3,111,306.75585585585566,92.52721510982168,0.0,0.0,2.0,125000.0,0.0,0.0,1.0,1.0
9,0.09,0.1,0,General,88.54672727272735,4822.8716529256835,500.0,3,111,306.4855855855841,92.2039815509412,0.0,0.0,2.0,125000.0,0.0,0.0,1.0,1.0
10,0.1,0.11,0,General,88.8661818181818,4706.062885421459,500.0,3,111,307.5830630630641,93.53912115801587,0.0,0.0,2.0,125000.0,0.0,0.0,1.0,1.0
11,0.11,0.12,0,General,88.77527272727276,4739.5795267438925,500.0,3,111,307.20630630630615,93.12621418934383,0.0,0.0,2.0,125000.0,0.0,0.0,1.0,1.0
12,0.12,0.13,0,General,88.68436363636384,4768.992220958322,500.0,3,111,306.9360360360351,92.75782945297857,0.0,0.0,2.0,125000.0,0.0,0.0,1.0,1.0
13,0.13,0.14,0,General,88.59345454545476,4803.842931702035,500.0,3,111,306.66576576576404,92.41643465197971,0.0,0.0,2.0,125000.0,0.0,0.0,1.0,1.0
14,0.14,0.15,0,General,88.51603603603596,4662.4711194224055,500.0,3,112,306.5467857142885,94.1957257353559,0.0,0.0,2.0,125000.0,0.0,0.0,1.0,1.0
0,0.0,0.01,3,LowAndSlowDriftAttack,50.27804123711339,1237.5747734828349,408.2871794871795,9,195,259.75076923076927,146.664795212733,0.0,0.0,16.0,125000.0,0.0,0.0,1.0,1.0
1,0.01,0.02,3,LowAndSlowDriftAttack,50.707005076142124,1245.0785722487037,414.0808080808081,9,198,265.8620202020202,154.5999038115646,0.0,0.0,37.0,125000.0,0.0,0.0,1.0,1.0
2,0.02,0.03,3,LowAndSlowDriftAttack,52.194345549738216,1240.269836090027,420.4791666666667,9,192,268.6969791666666,145.76267353861402,0.0,0.0,100.0,125000.0,0.0,0.0,1.0,1.0
3,0.03,0.04,3,LowAndSlowDriftAttack,51.74083333333331,1235.2038993055478,418.63212435233163,9,193,266.422694300518,145.50246896039178,0.0,0.0,162.0,125000.0,0.0,0.0,1.0,1.0
4,0.04,0.05,3,LowAndSlowDriftAttack,51.84583333333334,1228.6952993055509,420.8911917098446,9,193,269.85647668393756,148.13502087752292,0.0,0.0,224.0,125000.0,0.0,0.0,1.0,1.0
5,0.05,0.06,3,LowAndSlowDriftAttack,51.84583333333334,1228.6952993055806,420.8911917098446,9,193,265.8805181347153,145.6419555282553,0.0,0.0,285.0,125000.0,0.0,0.0,1.0,1.0
6,0.06,0.07,3,LowAndSlowDriftAttack,51.75792746113987,1225.4478879325216,421.29896907216494,9,194,265.5890721649484,146.91131435225248,0.0,0.0,348.0,125000.0,0.0,0.0,1.0,1.0
7,0.07,0.08,3,LowAndSlowDriftAttack,51.92250000000005,1226.6031937500074,420.8911917098446,9,193,268.95284974093306,147.11883818137397,0.0,0.0,410.0,125000.0,0.0,0.0,1.0,1.0
8,0.08,0.09,3,LowAndSlowDriftAttack,51.74083333333331,1235.2038993055965,418.63212435233163,9,193,267.32632124352335,146.09488603590813,0.0,0.0,472.0,125000.0,0.0,0.0,1.0,1.0
9,0.09,0.1,3,LowAndSlowDriftAttack,51.75792746113984,1225.447887932499,421.29896907216494,9,194,265.5890721649482,147.41271670922052,0.0,0.0,533.0,125000.0,0.0,0.0,1.0,1.0
10,0.1,0.11,3,LowAndSlowDriftAttack,51.922499999999985,1226.603193750022,420.8911917098446,9,193,269.675751295337,147.27395985150292,0.0,0.0,596.0,125000.0,0.0,0.0,1.0,1.0
11,0.11,0.12,3,LowAndSlowDriftAttack,51.922499999999985,1226.6031937500204,420.8911917098446,9,193,269.31430051813476,147.50446908713184,0.0,0.0,658.0,125000.0,0.0,0.0,1.0,1.0
12,0.12,0.13,3,LowAndSlowDriftAttack,51.74083333333331,1235.2038993056044,418.63212435233163,9,193,266.4226943005166,145.6157023965862,0.0,0.0,721.0,125000.0,0.0,0.0,1.0,1.0
13,0.13,0.14,3,LowAndSlowDriftAttack,51.84583333333334,1228.6952993055418,420.8911917098446,9,193,268.4106735751258,146.92996267498035,0.0,0.0,782.0,125000.0,0.0,0.0,1.0,1.0
14,0.14,0.15,3,LowAndSlowDriftAttack,51.757927461139836,1225.4478879324745,421.29896907216494,9,194,269.72432989691225,149.9502125545984,0.0,0.0,844.0,125000.0,0.0,0.0,1.0,1.0
0,0.0,0.01,-1,QueueBuildingAttack,55.34338983050847,1189.491694723738,427.10674157303373,8,178,294.065393258427,136.28028633233376,0.0,0.0,81.0,125000.0,0.0,0.0,1.0,1.0
1,0.01,0.02,-1,QueueBuildingAttack,55.732290502793305,1119.1408813457697,425.65555555555557,8,180,293.60488888888887,137.21582669684557,0.0,0.0,154.0,125000.0,0.0,0.0,1.0,1.0
2,0.02,0.03,-1,QueueBuildingAttack,55.732290502793305,1149.897636653043,425.65555555555557,8,180,292.8168888888888,136.35377271107401,0.0,0.0,227.0,125000.0,0.0,0.0,1.0,1.0
3,0.03,0.04,-1,QueueBuildingAttack,55.73229050279328,1149.8976366530278,425.65555555555557,8,180,292.42933333333343,136.41226312420233,0.0,0.0,300.0,125000.0,0.0,0.0,1.0,1.0
4,0.04,0.05,-1,QueueBuildingAttack,55.73229050279328,1119.140881345775,425.65555555555557,8,180,293.2173333333332,137.08293286101596,0.0,0.0,373.0,125000.0,0.0,0.0,1.0,1.0
5,0.05,0.06,-1,QueueBuildingAttack,55.732290502793326,1149.8976366530494,425.65555555555557,8,180,292.2226666666669,136.01058884268275,0.0,0.0,447.0,125000.0,0.0,0.0,1.0,1.0
6,0.06,0.07,-1,QueueBuildingAttack,55.53743016759775,1160.4258861333744,423.23333333333335,8,180,292.6231111111109,136.1499426012402,0.0,0.0,520.0,125000.0,0.0,0.0,1.0,1.0
7,0.07,0.08,-1,QueueBuildingAttack,55.53743016759783,1155.2815732842303,425.65555555555557,8,180,293.2173333333338,136.62110145134145,0.0,0.0,593.0,125000.0,0.0,0.0,1.0,1.0
8,0.08,0.09,-1,QueueBuildingAttack,55.73229050279328,1175.151536094425,428.0777777777778,8,180,292.4293333333337,136.33757959809438,0.0,0.0,666.0,125000.0,0.0,0.0,1.0,1.0
9,0.09,0.1,-1,QueueBuildingAttack,55.53743016759775,1160.4258861333358,423.23333333333335,8,180,292.235555555555,136.20796918365545,0.0,0.0,739.0,125000.0,0.0,0.0,1.0,1.0
10,0.1,0.11,-1,QueueBuildingAttack,55.53743016759775,1155.2815732842678,425.65555555555557,8,180,291.64133333333376,136.25550093849418,0.0,0.0,813.0,125000.0,0.0,0.0,1.0,1.0
