window_id,t_start_s,t_end_s,label,config,mean_IAT_us,IAT_variance_us2,mean_frame_size_B,burst_length,frame_count,phase_offset_mean_us,phase_offset_std_us,gate_drop_rate,meter_red_rate,queue_depth_max,sync_interval_mean,sync_interval_var,correction_field_delta,announce_rate,source_count
9,0.09,0.1,4,CBSExhaustionAttack,-144.40929373778044,-63.24912242594706,-74.50555555555553,5.0,109.09857927580909,-39.284576844820805,71.16509072817963,0.0,0.0,740.0,0.0,0.0,0.0,0.0,0.0
10,0.1,0.11,4,CBSExhaustionAttack,-144.35259192249148,-62.29159399679391,-74.34444444444443,5.0,109.09857927580909,-36.885400616161334,69.68204135792159,0.0,0.0,813.0,0.0,0.0,0.0,0.0,0.0
11,0.11,0.12,4,CBSExhaustionAttack,-144.4092937377805,-62.251412945282816,-74.50555555555553,5.0,109.09857927580909,-43.98337593281403,68.46705664239943,0.0,0.0,885.0,0.0,0.0,0.0,0.0,0.0
12,0.12,0.13,4,CBSExhaustionAttack,-144.35259192249117,-63.82274719845723,-74.34444444444443,5.0,109.09857927580909,-39.08816884210401,71.87119006814768,0.0,0.0,957.0,0.0,0.0,0.0,0.0,0.0
13,0.13,0.14,4,CBSExhaustionAttack,-145.26177620212962,-63.110691394568015,-76.9277777777778,5.0,109.09857927580909,-38.9769209504909,70.57071693425097,0.0,0.0,1030.0,0.0,0.0,0.0,0.0,0.0
14,0.14,0.15,4,CBSExhaustionAttack,-145.26177620212962,-62.61212957388146,-74.50555555555553,5.0,109.09857927580909,-42.77014420913201,70.00330631918561,0.0,0.0,1103.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.01,1,GCLPhaseAttack,-144.20432924487773,-63.25342531003643,-72.73295454545456,5.0,102.77402395547233,-37.42647672220132,73.88328289701121,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0
1,0.01,0.02,1,GCLPhaseAttack,-145.26177620212977,-63.27857820901287,-74.50555555555553,5.0,109.09857927580909,-39.32505788354843,71.07808770120464,0.0,0.0,159.0,0.0,0.0,0.0,0.0,0.0
2,0.02,0.03,1,GCLPhaseAttack,-145.25053360082234,-63.09691942658727,-74.34444444444443,5.0,109.09857927580909,-40.2822095548235,70.74012955888553,0.0,0.0,232.0,0.0,0.0,0.0,0.0,0.0
3,0.03,0.04,1,GCLPhaseAttack,-145.26177620212988,-62.6505105180847,-74.50555555555553,5.0,109.09857927580909,-40.79736825509024,69.715224768616,0.0,0.0,305.0,0.0,0.0,0.0,0.0,0.0
4,0.04,0.05,1,GCLPhaseAttack,-145.26177620212988,-63.243372830412966,-74.50555555555553,5.0,109.09857927580909,-41.09033103166796,70.52108079016831,0.0,0.0,376.0,0.0,0.0,0.0,0.0,0.0
5,0.05,0.06,1,GCLPhaseAttack,-145.25053360082225,-63.23542141324877,-74.34444444444443,5.0,109.09857927580909,-42.27537595800667,70.28131423610351,0.0,0.0,450.0,0.0,0.0,0.0,0.0,0.0
6,0.06,0.07,1,GCLPhaseAttack,-145.26177620212962,-62.06328334635518,-74.50555555555553,5.0,109.09857927580909,-44.16509081777373,68.85121305388208,0.0,0.0,522.0,0.0,0.0,0.0,0.0,0.0
7,0.07,0.08,1,GCLPhaseAttack,-144.35259192249117,-63.362037720768086,-74.34444444444443,5.0,109.09857927580909,-38.33642095992729,71.00227708561292,0.0,0.0,595.0,0.0,0.0,0.0,0.0,0.0
8,0.08,0.09,1,GCLPhaseAttack,-144.40929373778076,-62.832288985803494,-74.50555555555553,5.0,109.09857927580909,-41.51433242990767,69.86959681906204,0.0,0.0,667.0,0.0,0.0,0.0,0.0,0.0
9,0.09,0.1,1,GCLPhaseAttack,-144.35259192249117,-63.30678682179455,-74.34444444444443,5.0,109.09857927580909,-38.531629524465835,71.06882176410267,0.0,0.0,740.0,0.0,0.0,0.0,0.0,0.0
10,0.1,0.11,1,GCLPhaseAttack,-144.35259192249148,-62.33125911654862,-74.50555555555553,5.0,109.09857927580909,-36.98975173821619,69.58477770734955,0.0,0.0,813.0,0.0,0.0,0.0,0.0,0.0
11,0.11,0.12,1,GCLPhaseAttack,-144.40929373778044,-62.174651056874254,-74.50555555555553,5.0,109.09857927580909,-42.98004589143272,68.23977778970824,0.0,0.0,885.0,0.0,0.0,0.0,0.0,0.0
12,0.12,0.13,1,GCLPhaseAttack,-144.35259192249117,-64.45484451366913,-74.34444444444443,5.0,109.09857927580909,-34.96749895906447,73.12079746893819,0.0,0.0,958.0,0.0,0.0,0.0,0.0,0.0
13,0.13,0.14,1,GCLPhaseAttack,-145.26177620212968,-63.059470119877005,-76.9277777777778,5.0,109.09857927580909,-38.34301786995263,70.57899762215615,0.0,0.0,1030.0,0.0,0.0,0.0,0.0,0.0
14,0.14,0.15,1,GCLPhaseAttack,-145.26177620212962,-62.66652641417671,-74.50555555555553,5.0,109.09857927580909,-41.975516411863794,70.12614134251704,0.0,0.0,1103.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.01,3,GateBoundaryProximityAttack,-147.0302558907072,-63.011516600523755,-87.57865168539325,5.0,105.9363016156407,-44.86279322826374,67.32784856441384,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0
1,0.01,0.02,3,GateBoundaryProximityAttack,-145.31847801741904,-63.17781989981409,-86.44444444444446,5.0,109.09857927580909,-46.19154163058063,67.00068727884452,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0
2,0.02,0.03,3,GateBoundaryProximityAttack,-144.46599555306986,-63.81789884320464,-86.44444444444446,5.0,109.09857927580909,-46.19154163058109,67.7764661970271,0.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0
3,0.03,0.04,3,GateBoundaryProximityAttack,-145.31847801741915,-63.067503512082254,-88.86666666666667,5.0,109.09857927580909,-48.2833618244451,65.86164824863499,0.0,0.0,179.0,0.0,0.0,0.0,0.0,0.0
4,0.04,0.05,3,GateBoundaryProximityAttack,-145.31847801741915,-63.17781989981401,-86.44444444444446,5.0,109.09857927580909,-49.852226969844146,66.04661409782535,0.0,0.0,222.0,0.0,0.0,0.0,0.0,0.0
5,0.05,0.06,3,GateBoundaryProximityAttack,-145.31847801741895,-63.177819899813734,-86.44444444444446,5.0,109.09857927580909,-45.66858658211398,67.55681195171131,0.0,0.0,265.0,0.0,0.0,0.0,0.0,0.0
6,0.06,0.07,3,GateBoundaryProximityAttack,-144.46599555306977,-63.25706634387158,-86.44444444444446,5.0,109.09857927580909,-45.1456315336484,67.1275686797753,0.0,0.0,309.0,0.0,0.0,0.0,0.0,0.0
7,0.07,0.08,3,GateBoundaryProximityAttack,-145.31847801741893,-63.62833601141511,-88.86666666666667,5.0,109.09857927580909,-47.76040677597753,66.87161804135546,0.0,0.0,352.0,0.0,0.0,0.0,0.0,0.0
